"","Product_Num","Year","Month","total_demand"
"1","SH001",1997,1,223
"2","SH002",1997,1,244
"3","SH003",1997,1,211
"4","SH004",1997,1,217
"5","SH005",1997,1,167
"6","SH006",1997,1,237
"7","SH007",1997,1,254
"8","SH008",1997,1,218
"9","SH009",1997,1,231
"10","SH010",1997,1,212
"11","SH011",1997,1,208
"12","SH012",1997,1,233
"13","SH013",1997,1,227
"14","SH014",1997,1,218
"15","SH015",1997,1,201
"16","SH016",1997,1,182
"17","SH017",1997,1,204
"18","SH018",1997,1,206
"19","SH019",1997,1,256
"20","SH020",1997,1,193
"21","SH021",1997,1,198
"22","SH022",1997,1,230
"23","SH023",1997,1,222
"24","SH024",1997,1,234
"25","SH025",1997,1,207
"26","SH026",1997,1,237
"27","SH027",1997,1,216
"28","SH028",1997,1,196
"29","SH029",1997,1,191
"30","SH030",1997,1,224
"31","SH031",1997,1,189
"32","SH032",1997,1,212
"33","SH033",1997,1,205
"34","SH034",1997,1,209
"35","SH035",1997,1,152
"36","SH036",1997,1,219
"37","SH037",1997,1,164
"38","SH038",1997,1,205
"39","SH039",1997,1,222
"40","SH040",1997,1,203
"41","SH041",1997,1,199
"42","SH042",1997,1,258
"43","SH043",1997,1,218
"44","SH044",1997,1,227
"45","SH045",1997,1,219
"46","SH046",1997,1,202
"47","SH047",1997,1,221
"48","SH048",1997,1,182
"49","SH049",1997,1,187
"50","SH050",1997,1,256
"51","SH051",1997,1,207
"52","SH052",1997,1,262
"53","SH053",1997,1,223
"54","SH054",1997,1,221
"55","SH055",1997,1,189
"56","SH056",1997,1,199
"57","SH057",1997,1,228
"58","SH058",1997,1,247
"59","SH059",1997,1,248
"60","SH060",1997,1,217
"61","SH061",1997,1,242
"62","SH062",1997,1,210
"63","SH063",1997,1,176
"64","SH064",1997,1,202
"65","SH065",1997,1,224
"66","SH066",1997,1,260
"67","SH067",1997,1,254
"68","SH068",1997,1,242
"69","SH069",1997,1,215
"70","SH070",1997,1,238
"71","SH071",1997,1,210
"72","SH072",1997,1,195
"73","SH073",1997,1,179
"74","SH074",1997,1,233
"75","SH075",1997,1,195
"76","SH076",1997,1,240
"77","SH077",1997,1,171
"78","SH078",1997,1,189
"79","SH079",1997,1,224
"80","SH080",1997,1,222
"81","SH081",1997,1,223
"82","SH082",1997,1,230
"83","SH083",1997,1,206
"84","SH084",1997,1,222
"85","SH085",1997,1,236
"86","SH086",1997,1,220
"87","SH087",1997,1,217
"88","SH088",1997,1,229
"89","SH089",1997,1,176
"90","SH090",1997,1,228
"91","SH091",1997,1,213
"92","SH092",1997,1,246
"93","SH093",1997,1,218
"94","SH094",1997,1,203
"95","SH095",1997,1,253
"96","SH096",1997,1,229
"97","SH097",1997,1,200
"98","SH098",1997,1,247
"99","SH099",1997,1,231
"100","SH100",1997,1,256
"101","SH101",1997,1,216
"102","SH102",1997,1,244
"103","SH103",1997,1,201
"104","SH104",1997,1,215
"105","SH105",1997,1,224
"106","SH106",1997,1,213
"107","SH107",1997,1,196
"108","SH108",1997,1,206
"109","SH109",1997,1,277
"110","SH110",1997,1,160
"111","SH111",1997,1,204
"112","SH112",1997,1,249
"113","SH113",1997,1,221
"114","SH114",1997,1,224
"115","SH115",1997,1,213
"116","SH116",1997,1,229
"117","SH117",1997,1,198
"118","SH118",1997,1,190
"119","SH119",1997,1,228
"120","SH120",1997,1,204
"121","SH121",1997,1,294
"122","SH122",1997,1,195
"123","SH123",1997,1,201
"124","SH124",1997,1,226
"125","SH125",1997,1,271
"126","SH126",1997,1,231
"127","SH127",1997,1,231
"128","SH128",1997,1,175
"129","SH129",1997,1,254
"130","SH130",1997,1,223
"131","SH131",1997,1,288
"132","SH132",1997,1,243
"133","SH133",1997,1,199
"134","SH134",1997,1,229
"135","SH135",1997,1,236
"136","SH136",1997,1,174
"137","SH137",1997,1,227
"138","SH138",1997,1,200
"139","SH139",1997,1,253
"140","SH140",1997,1,210
"141","SH141",1997,1,220
"142","SH142",1997,1,238
"143","SH143",1997,1,228
"144","SH144",1997,1,211
"145","SH145",1997,1,194
"146","SH146",1997,1,174
"147","SH147",1997,1,231
"148","SH148",1997,1,213
"149","SH149",1997,1,221
